id,list_name,party,session,type,date,value,donated_to_charity,party_donation,description,sub_entry
1528,"Penning, Mike",Conservative,2013-14,gift,2013-07-18,980.0,False,False,Donor: Motor Sports Association,
4111,"Hunt, Tristram",Labour,2012-13,sponsorship,2012-12-20,3000.0,False,True,Donor: Lord Sainsbury,
3931,"Huppert, Julian",Liberal Democrat,2012-13,sponsorship,2012-11-05,2500.0,False,True,Donor: Gerald Avison,
159,"Jowell, Tessa",Labour,2012-13,sponsorship,2012-02-01,1140.0,False,False,Donor: Politicshome,
4068,"Harrington, Richard",Conservative,2010-11,sponsorship,2010-06-03,3000.0,False,True,Donor: William Ruffler,
3974,"Perry, Claire",Conservative,2010-11,sponsorship,2010-06-02,5000.0,False,True,Donor: Mr Henry Keswick,
3974,"Perry, Claire",Conservative,2010-11,sponsorship,2010-06-02,5000.0,False,True,Donor: Mrs Tessa Keswick,
4009,"Lewis, Brandon",Conservative,2014-15,sponsorship,2014-12-18,5000.0,False,False,Donor: JCB Research Ltd,
4009,"Lewis, Brandon",Conservative,2014-15,sponsorship,2015-01-26,5000.0,False,False,Donor: JCB Research Ltd,
441,"Lewis, Ivan",Labour,2014-15,sponsorship,2015-01-26,6300.0,False,False,Donor: Deloitte LLP,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-04-24,10000.0,False,True,Donor: Marian Tucker,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-04-24,20000.0,False,True,Donor: John Pemberton,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-04-24,6000.0,False,True,Donor: Bevis Gillett,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-04-24,10000.0,False,True,Donor: James Arbib,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-04-29,2500.0,False,True,Donor: Betterworld Ltd,
1584,"Penrose, John",Conservative,2013-14,gift,2013-03-11,689.0,False,False,Donor: Merlin Entertainments Ltd,
3974,"Perry, Claire",Conservative,2010-11,sponsorship,2010-06-02,5000.0,False,True,Donor: Mr Kenneth Carter,
3974,"Perry, Claire",Conservative,2010-11,sponsorship,2010-06-02,2000.0,False,True,Donor: Mr Martin Arbib,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-09-01,6000.0,False,True,Donor: Bevis Gillett,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-09-01,5000.0,False,True,Donor: Cathy Debenham,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2014-10-23,30000.0,False,True,Donor: Tom Roddick,
3930,"Lucas, Caroline",Green,2014-15,sponsorship,2015-01-15,10000.0,False,True,Donor: Matthew Oakeshott,
3992,"Morris, James",Conservative,2014-15,sponsorship,2014-10-06,10000.0,False,True,Donor: Tony Billingham,
3992,"Morris, James",Conservative,2014-15,sponsorship,2014-11-18,10000.0,False,True,Donor: Tony Billingham,
4089,"Munt, Tessa",Liberal Democrat,2014-15,sponsorship,2014-07-28,6000.0,False,True,Donor: Lord Oakeshott,
4071,"Newton, Sarah",Conservative,2014-15,sponsorship,2014-12-19,5000.0,False,True,Donor: OGN Group,
4071,"Newton, Sarah",Conservative,2014-15,sponsorship,2014-04-15,5936.4,False,False,Donor: Alan Newton,
4071,"Newton, Sarah",Conservative,2014-15,sponsorship,2014-04-22,2187.82,False,False,Donor: FC Funding Ltd,
3983,"Rudd, Amber",Conservative,2014-15,sponsorship,2014-06-24,2000.0,False,True,Donor: The Carlton Club,
3983,"Rudd, Amber",Conservative,2014-15,sponsorship,2014-06-24,7500.0,False,True,Donor: Sarah Kowitz,
609,"Galloway, George",Respect,2012-13,client,2013-01-01,500.0,False,False,,Payment of £500.  Hours: 20 mins.
609,"Galloway, George",Respect,2012-13,client,2013-01-01,500.0,False,False,,Payment of £500.  Hours: 20 mins.
609,"Galloway, George",Respect,2012-13,client,2013-01-01,500.0,False,False,,Payment of £500.  Hours: 20 mins.
3983,"Rudd, Amber",Conservative,2014-15,sponsorship,2014-11-24,5000.0,False,True,Donor: Riley Rudd,
3942,"Stevenson, John",Conservative,2013-14,employment,2013-12-13,650.0,False,False,,Received £650 gross for December 2013.  Hours: 20 hrs. (Registered 13 December 2013)
1170,"Teather, Sarah",Liberal Democrat,2013-14,sponsorship,2013-07-03,4300.0,False,True,Donor: Henley Homes Limited,
4093,"McPartland, Stephen",Conservative,2013-14,client,2013-10-14,3000.0,False,False,,"Fees of £3,000 received. Hours: 10 hrs devoted to advice and meetings in quarter ending 30 September 2013. (Registered 14 October 2013)"
4052,"Pawsey, Mark",Conservative,2013-14,oversees_visit,2013-04-17,1142.0,False,False,Donor:  Medical Aid for Palestinians,
392,"Barron, Kevin",Labour,2013-14,employment,2013-06-10,75.0,True,False,"Fees for completing opinion surveys for ComRes, 4 Millbank, London, SW1P 3JA:",Received £75 for April 2013 survey.  Hours: 45 mins. Fee donated to charity. (Registered 10 June 2013)
392,"Barron, Kevin",Labour,2013-14,oversees_visit,2013-03-25,1250.0,False,False,Donor: Results UK,
3955,"Barwell, Gavin",Conservative,2013-14,gift,2013-07-17,1296.0,False,False,Donor: LOCff Consulting Limited,
385,"Bayley, Hugh",Labour,2013-14,employment,2013-04-08,525.0,False,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA:","8 April 2013, received payment of £525, for participating in 7 surveys in 2012-13.  Hours: 5 hrs in total. (Registered 8 April 2013;updated 18 April 2013)"
385,"Bayley, Hugh",Labour,2013-14,employment,2013-12-15,75.0,False,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA:","November 2013, received payment of £75 for one survey.  Hours: 1 hr. (Registered 15 December 2013)"
3910,"Bebb, Guto",Conservative,2013-14,employment,2013-02-12,150.0,False,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for completing survey.","18 December 2012, received £150 for survey in October 2012. Hours: 1 hr. (Registered 12 February 2013)"
3910,"Bebb, Guto",Conservative,2013-14,employment,2013-02-12,150.0,False,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for completing survey.","21 December 2012, received £150 for survey in December 2012. Hours: 1 hr. (Registered 12 February 2013)"
3910,"Bebb, Guto",Conservative,2013-14,employment,2014-01-20,200.0,False,False,"Payments from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for completing survey.",Received £200 for survey.  Hours: 90 mins. (Registered 20 January 2014)
3910,"Bebb, Guto",Conservative,2013-14,employment,2013-02-12,165.0,False,False,"20 December  2012, received £165 from BBC Wales for an appearance on Pawb a’i Farn broadcast by S4C. Hours: 2 hrs. Address: BBC Wales, Llandaff, Cardiff, CF5 2YQ.  (Registered 12 February 2013)",
3910,"Bebb, Guto",Conservative,2013-14,employment,2014-01-20,80.0,False,False,"Payment of £80 from YouGov, 50 Featherstone Street, London EC1Y 8RT, for online survey.  Hours: 1 hr. (Registered 20 January 2014)",
513,"Beith, Alan",Liberal Democrat,2013-14,employment,2013-03-13,75.0,False,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion research:",Payment of £75.  Hours: 2 hrs. (January 2013).  Payment donated to my constituency party. (Registered 13 March 2013)
513,"Beith, Alan",Liberal Democrat,2013-14,employment,2013-07-03,75.0,False,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion research:",Payment of £75.  Hours: 2 hrs. (April 2013).  Payment donated to my constituency party. (Registered 3 July 2013)
513,"Beith, Alan",Liberal Democrat,2013-14,employment,2013-09-11,75.0,False,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion research:",Payment of £75.  Hours: 2 hrs. (June 2013).  Payment donated to my constituency party. (Registered 11 September 2013)
513,"Beith, Alan",Liberal Democrat,2013-14,employment,2013-09-11,200.0,False,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion research:","Payment of £200 from Ipsos MORI, 79-81 Borough Road, London SE1 1FY, for opinion research.  (July 2013.) Hours: 1 hr. Payment donated to my constituency party. (Registered 11 September 2013)"
1441,"Bellingham, Henry",Conservative,2013-14,directorship,2013-06-18,5000.0,False,False,"Non-executive director of Developing Markets Associates Ltd, a global consultancy and investment conference organiser. (Registered 17 May 2013)","Received £5,000 gross. Hours: 3 hrs carrying out duties as a Non-Executive Director, plus 4 hrs chairing sessions at DMA’s inward investment conferences. (Registered 18 June 2013)"
1441,"Bellingham, Henry",Conservative,2013-14,directorship,2013-08-05,2500.0,False,False,"Non-executive director of Developing Markets Associates Ltd, a global consultancy and investment conference organiser. (Registered 17 May 2013)","Received £2,500 on 30 June 2013. Hours: 7 hrs carrying out duties as a Non-Executive Director, plus chairing a session at a recent inward investment conference. (Registered 5 August 2013)"
