id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
184,"Gapes, Mike",Labour,2013-14,employment,2013-04-17,100.0,False,"Payments from Dods Parliamentary Service, 21 Dartmouth Street, London SW1H 9BP, for opinion surveys. All sums paid direct to Redbridge Labour Party:","10 July 2012, £100 received. Hours: 20 mins. 
(Registered 17 April 2013)"
184,"Gapes, Mike",Labour,2013-14,employment,2013-04-17,70.0,False,"Payments from YouGov, 50 Featherstone St, London EC1Y 8RT,  for opinion surveys. All sums paid direct to Redbridge Labour Party:","31 July 2012, £70 received. Hours: 15 mins.  
(Registered 17 April 2013)"
184,"Gapes, Mike",Labour,2013-14,employment,2013-04-17,150.0,False,"Payments from Research International, 6 More London Place, London SE1 2QY,  for opinion surveys. All sums paid direct to Redbridge Labour Party:","4 January 2013, £150 received. Hours: 20 mins.  
(Registered 17 April 2013)"
184,"Gapes, Mike",Labour,2013-14,oversees_visit,2013-12-12,3000.0,False,Donor: Council of Ministers,
184,"Gapes, Mike",Labour,2013-14,oversees_visit,2014-01-20,4500.0,False,Donor: Government of Taiwan and Taipei Representative Office,
184,"Gapes, Mike",Labour,2014-15,employment,2014-05-12,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. All sums paid direct to Redbridge Labour Party:","2 April 2013, £75 received. Hours: 15 mins.  
(Registered 12 May 2014)"
184,"Gapes, Mike",Labour,2014-15,employment,2014-05-12,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. All sums paid direct to Redbridge Labour Party:","30 May 2013, £75 received. Hours: 15 mins.  
(Registered 12 May 2014)"
184,"Gapes, Mike",Labour,2014-15,employment,2014-05-12,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. All sums paid direct to Redbridge Labour Party:","9 September 2013, £75 received. Hours: 15 mins.  
(Registered 12 May 2014)"
184,"Gapes, Mike",Labour,2014-15,employment,2014-05-12,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. All sums paid direct to Redbridge Labour Party:","2 December 2013, £75 received. Hours: 15 mins.  
(Registered 12 May 2014)"
184,"Gapes, Mike",Labour,2014-15,employment,2014-05-12,75.0,False,"Payments from ComRes, 4 Millbank, London SW1P 3JA, for opinion surveys. All sums paid direct to Redbridge Labour Party:","24 January 2014, £75 received. Hours: 15 mins.  
(Registered 12 May 2014)"
