348,"Tapsell, Peter",Conservative,2014-15,employment,2014-04-03,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 3 April 2014)"
348,"Tapsell, Peter",Conservative,2014-15,employment,2014-09-17,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 17 September 2014)"
348,"Tapsell, Peter",Conservative,2013-14,employment,2013-04-08,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 8 April 2013)"
348,"Tapsell, Peter",Conservative,2013-14,employment,2013-10-08,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 8 October 2013)"
348,"Tapsell, Peter",Conservative,2012-13,employment,2012-04-18,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 18 April 2012)"
348,"Tapsell, Peter",Conservative,2012-13,employment,2012-10-12,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 12 October 2012)"
348,"Tapsell, Peter",Conservative,2011-12,employment,2010-09-15,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 15 September 2010)"
348,"Tapsell, Peter",Conservative,2011-12,employment,2011-05-04,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 4 May 2011"
348,"Tapsell, Peter",Conservative,2011-12,employment,2011-10-06,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000. Hours: 60 hrs over a six-month period. (Registered 6 October 2011)"
348,"Tapsell, Peter",Conservative,2010-11,employment,2009-09-21,15000.0,False,"International adviser to the Mitsubishi UFJ Trust and Banking Corporation (Japan); a Japanese Trust Bank in both Japan and overseas.  £30,000 per annum (paid semi-annually); hours worked: approximately 10 hours a month.","Bi-annual fee payment of £15,000.  Hours: 60 hours over a six-month period.  (Registered 21 September 2009)"
